"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"gad7_1","Integer","","Required","Over the last two weeks, how often have you been bothered by feeling nervous, anxious or on edge?","0::3;-9","0 = Not at all; 1 = Several days; 2 = More than half the days; 3 = Nearly every day; -9 = Missing",""
"gad7_2","Integer","","Required","Over the last two weeks, how often have you been bothered by not being able to stop or control worrying?","0::3;-9","0 = Not at all; 1 = Several days; 2 = More than half the days; 3 = Nearly every day; -9 = Missing",""
"gad7_3","Integer","","Required","Over the last two weeks, how often have you been bothered by worrying too much about different things?","0::3;-9","0 = Not at all; 1 = Several days; 2 = More than half the days; 3 = Nearly every day; -9 = Missing",""
"gad7_4","Integer","","Required","Over the last two weeks, how often have you been bothered by trouble relaxing?","0::3;-9","0 = Not at all; 1 = Several days; 2 = More than half the days; 3 = Nearly every day; -9 = Missing",""
"gad7_5","Integer","","Required","Over the last two weeks, how often have you been bothered by being so restless that it is hard to sit still?","0::3;-9","0 = Not at all; 1 = Several days; 2 = More than half the days; 3 = Nearly every day; -9 = Missing",""
"gad7_6","Integer","","Required","Over the last two weeks, how often have you been bothered by becoming easily annoyed or irritable?","0::3;-9","0 = Not at all; 1 = Several days; 2 = More than half the days; 3 = Nearly every day; -9 = Missing",""
"gad7_7","Integer","","Required","Over the last two weeks, how often have you been bothered by feeling afraid as if something awful might happen?","0::3;-9","0 = Not at all; 1 = Several days; 2 = More than half the days; 3 = Nearly every day; -9 = Missing",""
"gad7_8","Integer","","Required","In what language did you collect the data?","1::68","1 = English; 2 = Arabic for Tunisia; 3 = Assamese for India; 4 = Bulgarian for Bulgaria; 5 = Cebuano for the Philippines; 6 = Chinese for China; 7 = Chinese for the United States; 8 = Croatian for Croatia; 9 = Czech for the Czech Republic; 10 = Danish for Denmark; 11 = Dutch for Belgium; 12 = Ducth for the Netherlands; 13 = Filipino for the Philippines; 14 = Finnish for Finland; 15 = French for Belgium; 16 = French for Canada; 17 = French for France; 18 = French for Switzerland; 19 = French for Tunisia; 20 = German for Austria; 21 = German for Belgium; 22 = Greek for Greece; 23 = Gujarati for India; 24 = Hebrew for Israel; 25 = Hindi for India; 26 = Hungarian for Hungary; 27 = Indonesian for Indonesia; 28 = Italian for Italy; 29 = Italian for Switzerland; 30 = Kannada for India; 31 = Korean for Korea; 32 = Latvian for Latvia; 33 = Lithuanian for Lithuania; 34 = Malay for Malaysia; 35 = Malayalam for India; 36 = Marathi for India; 37 = Norwegian for Norway; 38 = Polish for Poland; 39 = Portuguese for Brazil; 40 = Portuguese for Portugal; 41 = Punjabi for India; 42 = Romanian for Romania; 43 = Russian for Latvia; 44 = Russian for Russia; 45 = Russian for Ukraine; 46 = Simplified Chinese for Mainland China; 47 = Slovakian for Slovakia; 48 = Spanish for Argentina; 49 = Spanish for Columbia; 50 = Spanish for Mexico; 51 = Spanish for Peru; 52 = Spanish for Puerto Rico; 53 = Spanish for Spain; 54 = Spanish for the United States; 55 = Swedish for Finland; 56 = Swedish for Sweden; 57 = Tamil for India; 58 = Telugu for India; 59 = Thai for Thailand; 60 = Traditional Chinese for Hong Kong; 61 = Traditional Chinese for Taiwan; 62 = Turkish for Turkey; 63 = Ukrainian for Ukraine; 64 = Urdu for India; 65 = Nepali; 66 = Kirundi; 67 = Swahili; 68 = Chichewa",""
