"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ageyears","Integer","","Recommended","Age in years","","",""
"visit","String","60","Recommended","Visit name","","",""
"version","String","20","Recommended","Version/code of assessment","","",""
"sym_rkn1","Integer","","Recommended","Right knee symptoms: swelling, last 7 days","0::4","0=Never; 1=Rarely; 2=Sometimes; 3=Often; 4=Always",""
"sym_rkn2","Integer","","Recommended","Right knee symptoms: feel grinding, hear clicking or any other type of noise when knee moves, last 7 days","0::4","0=Never; 1=Rarely; 2=Sometimes; 3=Often; 4=Always",""
"sym_rkn3","Integer","","Recommended","Right knee symptoms: knee catch or hang up when moving, last 7 days","0::4","0=Never; 1=Rarely; 2=Sometimes; 3=Often; 4=Always",""
"sym_rkn4","Integer","","Recommended","Right knee symptoms: straighten knee fully, last 7 days","0::4","0=Always; 1=Often; 2=Sometimes; 3=Rarely; 4=Never",""
"sym_rkn5","Integer","","Recommended","Right knee symptoms: bend knee fully, last 7 days","0::4","0=Always; 1=Often; 2=Sometimes; 3=Rarely; 4=Never",""
"pain_rkfr","Integer","","Recommended","Right knee pain: how often","0::4","0=Never; 1=Monthly; 2=Weekly; 3=Daily; 4=Always",""
"pain_rknsp1","Integer","","Recommended","Right knee pain: twisting/pivoting on knee, last 7 days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"pain_rknsp2","Integer","","Recommended","Right knee pain: straightening knee fully, last 7 days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"pain_rknsp3","Integer","","Recommended","Right knee pain: bending knee fully, last 7 days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"pain_rkn1","Integer","","Recommended","Right Knee Pain: Walking, Last 7 Days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"pain_rkn2","Integer","","Recommended","Right Knee Pain: Stairs, Last 7 Days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"pain_rkn3","Integer","","Recommended","Right Knee Pain: In Bed, Last 7 Days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"pain_rkn4","Integer","","Recommended","Right Knee Pain: Sit Or Lie Down, Last 7 Days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"pain_rkn5","Integer","","Recommended","Right Knee Pain: Standing, Last 7 Days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"diff_rkn1","Integer","","Recommended","Right Knee Difficulty: Down Stairs, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_rkn2","Integer","","Recommended","Right Knee Difficulty: Up Stairs, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_rkn3","Integer","","Recommended","Right Knee Difficulty: Stand From Sitting, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_rkn4","Integer","","Recommended","Right Knee Difficulty: Standing, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_rkn5","Integer","","Recommended","Right Knee Difficulty: Bending, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_rkn6","Integer","","Recommended","Right Knee Difficulty: Walking, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_rkn7","Integer","","Recommended","Right Knee Difficulty: In Car/Out Of Car, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_rkn8","Integer","","Recommended","Right Knee Difficulty: Shopping, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_rkn9","Integer","","Recommended","Right Knee Difficulty: Socks On, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_rkn10","Integer","","Recommended","Right Knee Difficulty: Get Out Of Bed, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_rkn11","Integer","","Recommended","Right Knee Difficulty: Socks Off, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_rkn12","Integer","","Recommended","Right Knee Difficulty: Lying Down, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_rkn13","Integer","","Recommended","Right Knee Difficulty: Get In/Out Of Bathtub, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_rkn14","Integer","","Recommended","Right Knee Difficulty: Sitting, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
