"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","subjectid,subjectnumber"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","datacollecteddate"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"sleep105","Integer","","Recommended","In the past 7 days... My sleep was restful","1::5; 99","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much; 99=N/A",""
"sleep106","Integer","","Recommended","In the past 7 days... My sleep was light","1::5; 99","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much; 99=N/A",""
"sleep107","Integer","","Recommended","In the past 7 days... My sleep was deep","1::5; 99","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much; 99=N/A",""
"sleep108","Integer","","Recommended","In the past 7 days... My sleep was restless","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much","a_sleep01,dsm5_pt_sle_1,dsm5_pt_sle_1_spa,dsm5_sp_sle_1,dsm5_sp_sle_1_spa,promis_sleep108,sleep2"
"sleep115","Integer","","Recommended","In the past 7 days... I was satisfied with my sleep","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much","a_sleep02,dsm5_pt_sle_2,dsm5_pt_sle_2_spa,dsm5_sp_sle_2,dsm5_sp_sle_2_spa,promis_sleep115,sleep3"
"sleep116","Integer","","Recommended","In the past 7 days... My sleep was refreshing","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much","a_sleep03,dsm5_pt_sle_3,dsm5_pt_sle_3_spa,dsm5_sp_sle_3,dsm5_sp_sle_3_spa,promis_sleep116,sleep4"
"sleep125","Integer","","Recommended","In the past 7 days... I felt lousy when I woke up","1::5; 99","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much; 99=N/A",""
"sleep20","Integer","","Recommended","In the past 7 days... I had a problem with my sleep","1::5; 99","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much; 99=N/A","sleep3"
"sleep44","Integer","","Recommended","In the past 7 days... I had difficulty falling asleep","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much","a_sleep04,dsm5_pt_sle_4,dsm5_pt_sle_4_spa,dsm5_sp_sle_4,dsm5_sp_sle_4_spa,promis_sleep44,sleep1,sleep5"
"sleep65","Integer","","Recommended","In the past 7 days... I felt physically tense at bedtime","1::5; 99","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much; 99=N/A",""
"sleep67","Integer","","Recommended","In the past 7 days... I worried about not being able to fall asleep","1::5; 99","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much; 99=N/A","sleep6"
"sleep68","Integer","","Recommended","In the past 7 days... I felt worried at bedtime","1::5; 99","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much; 99=N/A",""
"sleep69","Integer","","Recommended","In the past 7 days... I had trouble stopping my thoughts at bedtime","1::5; 99","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much; 99=N/A",""
"sleep70","Integer","","Recommended","In the past 7 days... I felt sad at bedtime","1::5; 99","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much; 99=N/A",""
"sleep71","Integer","","Recommended","In the past 7 days... I had trouble getting into a comfortable position to sleep","1::5; 99","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much; 99=N/A",""
"sleep72","Integer","","Recommended","In the past 7 days... I tried hard to get to sleep","1::5; 99","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much; 99=N/A",""
"sleep78","Integer","","Recommended","In the past 7 days... Stress disturbed my sleep","1::5; 99","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much; 99=N/A",""
"sleep86","Integer","","Recommended","In the past 7 days... I tossed and turned at night","1::5; 99","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much; 99=N/A","sleep8"
"sleep93","Integer","","Recommended","In the past 7 days... I was afraid I would not get back to sleep after waking up","1::5; 99","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much; 99=N/A",""
"sleep110","Integer","","Recommended","In the past 7 days... I got enough sleep","1::5; 99","1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Always; 99=N/A","a_sleep07,dsm5_pt_sle_7,dsm5_pt_sle_7_spa,dsm5_sp_sle_7,dsm5_sp_sle_7_spa,promis_sleep110"
"sleep42","Integer","","Recommended","In the past 7 days... It was easy for me to fall asleep","1::5; 99","1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Always; 99=N/A",""
"sleep45","Integer","","Recommended","In the past 7 days... I laid in bed for hours waiting to fall asleep","1::5; 99","1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Always; 99=N/A",""
"sleep50","Integer","","Recommended","In the past 7 days... I woke up too early and could not fall back asleep","1::5; 99","1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Always; 99=N/A",""
"sleep87","Integer","","Recommended","In the past 7 days... I had trouble staying asleep","1::5; 99","1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Always; 99=N/A","a_sleep05,dsm5_pt_sle_5,dsm5_pt_sle_5_spa,dsm5_sp_sle_5,dsm5_sp_sle_5_spa,promis_sleep87"
"sleep90","Integer","","Recommended","In the past 7 days... I had trouble sleeping","1::5; 99","1=Never; 2=Rarely/Almost Never; 3=Sometimes; 4=Often/Almost Always; 5=Always; 99=N/A","a_sleep06,dsm5_pt_sle_6,dsm5_pt_sle_6_spa,dsm5_sp_sle_6,dsm5_sp_sle_6_spa,promis_sleep90,prsld04,sleep4,trouble_sleeping"
"sleep92","Integer","","Recommended","In the past 7 days... I woke up and had trouble falling back to sleep","1::5; 99","1=Never; 2=Rarely/Almost Never; 3=Sometimes; 4=Often; 5=Always; 99=N/A","sleep7"
"sleep109","Integer","","Recommended","In the past 7 days... My sleep quality was","1::5; 99","1=Very poor; 2=Poor; 3=Fair; 4=Good; 5=Very good; 99=N/A","a_sleep08,dsm5_pt_sle_8,dsm5_pt_sle_8_spa,dsm5_sp_sle_8,dsm5_sp_sle_8_spa,promis_sleep109"
"sld_rs","Integer","","Required","Sleep Disturbance raw score","","99=N/A; -999 = Missing",""
"sld_ts","Float","","Required","Sleep Disturbance  T score","","99=N/A; -999 = Missing","promis_sf_v10_sleep_disturb_8b_tscore"
"sld_se","Float","","Required","Sleep Disturbance standard error","","99=N/A; -999 = Missing","promis_sf_v10_sleep_disturb_8b_std_error"
"sleep126","Integer","","Recommended","In the past 7 days?I slept through the night","1::5; 99","1=Never; 2=Rarely/Almost Never; 3=Sometimes; 4=Often/Almost Always; 5=Always; 99=N/A","sleep2"
"sleep127","Integer","","Recommended","In the past 7 days?It took me a long time to fall asleep","1::5; 99","1=Never; 2=Rarely/Almost Never; 3=Sometimes; 4=Often/Almost Always; 5=Always; 99=N/A","prsld05,sleep5"
"parent_sleep08","Integer","","Recommended","In the past 7 days: My child tossed and turned at night.","1::5; 99","1=Never; 2=Almost Never; 3=Sometimes; 4=Almost Always; 5=Always; 99=N/A",""
