"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,sex"
"version_form","String","121","Recommended","Form used/assessment name","","",""
"relationship","Integer","","Recommended","Relationship of respondent to individual","1::95;-999","1 = Biological mom; 2 = Biological dad; 3 = Grandparent; 4 = Special education (sped) teacher; 5 = General education teacher; 6 = Occupational therapist; 7 = Speech and language therapist; 8 = Behavioral therapist; 9 = Paraprofessional; 10 = Aide; 11 = Principal; 12 = Administrator; 14 = Content teacher; 15 = Parent center director; 16 = Self; 17 = Adoptive mother; 18 = Adoptive father; 19 = Foster mother; 20 = Foster father; 21 = Grandmother; 22 = Grandfather; 23 = Step-mother; 24 = Step-father; 25 = Aunt; 26 = Uncle; 28 = Both parents; 31 = Grandmother from mother side; 32 = Grandfather from mother side; 33 = Grandmother from father side; 34 = Grandfather from father side; 36 = Brother; 37 = Sister; 38 = Cousin; 39 = Female caregiver; 40 = Male caregiver; 41 = Female child; 42 = Male child; 43 = Spouse/Mate; 44 = Friend; 45 = Parent; 46 = Significant other; 47 = Sibling; 48 = Son/Daughter; 49 = Son-in-law/Daughter-in law; 50 = Other Relative; 51 = Paid caregiver; 52 = Friends; 53 = Roommate; 54 = Supervisor; 55 = Mother's boyfriend; 56 = Other parental figure; 57 = Summary; 58 = Counselor; 59 = Other female relative; 60 = Other male relative; 61 = Non-relative ; 62 = Maternal Aunt; 63 = Maternal Uncle; 64 = Maternal Cousin; 65 = Paternal Aunt; 66 = Paternal Uncle; 67 = Paternal Cousin; 68 = Biological/Adoptive Mother and Grandmother; 69 = Biological/Adoptive Mother and Stepmother and Grandmother; 70 = Biological/Adoptive Mother and Grandmother and Foster Father; 71 = Biological/Adoptive Mother and Stepmother and Foster Mother; 72 = Biological/Adoptive Mother and Foster Mother; 73 = Biological/Adoptive Mother and Biological/Adoptive Father; 74 = Biological/Adoptive Mother and Stepmother and Biological/Adoptive Father; 75 = Biological/Adoptive Mother and Other; 76 = Biological/Adoptive Mother and Stepmother and Stepfather; 77 = Biological/Adoptive Mother and Stepfather; 78 = Biological/Adoptive Mother and Grandfather; 79 = Biological/Adoptive Mother and Stepmother and Foster Father; 80 = Biological/Adoptive Mother and Stepmother; 81 = Guardian, female; 82 = Other female; 83 = Guardian, male; 84 = Other male; 85 = Other/Grandparent/Nanny; 86 = Mother, Father, Guardian; 87 = Daughter, son, grandchild; 88 = Professional (e.g., social worker, nurse, therapist, psychiatrist, or group home staff); -999 = Missing; 89 = Biological parent; 90 = Other; 91 = Stepparent; 92 = Adoptive parent; 93 = Foster parent; 94 = Co-worker; 95 = Independent Evaluator",""
"prsupport1","Integer","","Recommended","Is someone available to help you if you need it?","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always","ccc31051x3,ccc31051x_6mo"
"support_bed","Integer","","Recommended","People sometimes look to others for companionship, assistance, or other types of support. How often is each oft eh following kinds of support available to you if you need it? Circle one number for each line.  Someone to help you if you were confined to bed.   PX630501_Support_Confined_Bed","1::5","1=none of the time; 2=A little of the time; 3=Some of the time; 4=Most of the time; 5=All of the time",""
"support_doctor","Integer","","Recommended","People sometimes look to others for companionship, assistance, or other types of support. How often is each oft eh following kinds of support available to you if you need it? Circle one number for each line.  Someone to take you to the doctor if you needed it.  PX630501_Support_Transport_Doctor","1::5","1=none of the time; 2=A little of the time; 3=Some of the time; 4=Most of the time; 5=All of the time",""
"support_meals","Integer","","Recommended","People sometimes look to others for companionship, assistance, or other types of support. How often is each oft eh following kinds of support available to you if you need it? Circle one number for each line.  Someone to prepare your meals if you were unable to do it yourself.  PX630501_Support_Prepare_Meals","1::5","1=none of the time; 2=A little of the time; 3=Some of the time; 4=Most of the time; 5=All of the time",""
"support_chores","Integer","","Recommended","People sometimes look to others for companionship, assistance, or other types of support. How often is each oft eh following kinds of support available to you if you need it? Circle one number for each line.  Someone to help with daily chores if you were sick.  PX630501_Support_Help_Chores","1::5","1=none of the time; 2=A little of the time; 3=Some of the time; 4=Most of the time; 5=All of the time",""
"prsupport6","Integer","","Recommended","Do you have someone to bring you to an appointment if you need it?","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
"prsupport7","Integer","","Recommended","Do you have someone to help you clean up around the home if you need it?","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always","ins_caps2,ins_caps2_6mo"
"prsupport8","Integer","","Recommended","Could you get a friend or family member to help move furniture around your home if you need it?","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
"prsupport9","Integer","","Recommended","Do you have someone to run errands if you need it?","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always","ss6,ss6_6mo"
"prsupport10","Integer","","Recommended","Do you have someone to pick up a prescription if you need it?","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
"prsupport11","Integer","","Recommended","Do you have someone to take over all of your responsibilities at home if you need it?","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always","ss9,ss9_6mo"
"prsupport12","Integer","","Recommended","I have people who I can talk to about my health","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
"prsupport13","Integer","","Recommended","I have someone who will listen to me when I need to talk. / You have someone who will listen to you when you need to talk.","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always","listen"
"support_confide","Integer","","Recommended","People sometimes look to others for companionship, assistance, or other types of support. How often is each oft eh following kinds of support available to you if you need it? Circle one number for each line.  Someone to confide in or talk to about yourself or your problems.  PX630501_Support_Confide_Problems","1::5","1=none of the time; 2=A little of the time; 3=Some of the time; 4=Most of the time; 5=All of the time",""
"support_fears","Integer","","Recommended","People sometimes look to others for companionship, assistance, or other types of support. How often is each oft eh following kinds of support available to you if you need it? Circle one number for each line.  Someone to share your most private worries and fears with.  PX630501_Support_Share_Worries_Fears","1::5","1=none of the time; 2=A little of the time; 3=Some of the time; 4=Most of the time; 5=All of the time",""
"prsupport16","Integer","","Recommended","I have someone who understands my problems. / You have someone who understands your problems.","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
"prsupport17","Integer","","Recommended","I feel close to my friends","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
"prsupport18","Integer","","Recommended","I get emotional support from my family","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
