"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"past12mo_tobacco_use","Integer","","Recommended","In the past 12 months, how often have you used any tobacco or any other nicotine delivery product (for example, cigarettes, e-cigarettes, cigars, pipes, or smokeless tobacco)?","1::6","1 = Daily or Almost Daily ; 2 = Weekly ; 3 = Monthly ; 4 = Less than Monthly ; 5 = Never ; 6 = Prefer not to say",""
"past12mo_malefemale_alc","Integer","","Recommended","In the past 12 months, how often have you had 5 or more drinks (4 or more if female) containing alcohol in one day? One standard drink is about 1 small glass of wine (5 oz), 1 beer (12 oz), or 1 single shot of liquor.","1::6","1 = Daily or Almost Daily ; 2 = Weekly ; 3 = Monthly ; 4 = Less than Monthly ; 5 = Never ; 6 = Prefer not to say",""
"past12mo_drugs","Integer","","Recommended","In the past 12 months, how often have you used any drugs including marijuana, cocaine or crack, heroin, methamphetamine (crystal meth), hallucinogens, ecstasy/MDMA?","1::6","1 = Daily or Almost Daily ; 2 = Weekly ; 3 = Monthly ; 4 = Less than Monthly ; 5 = Never ; 6 = Prefer not to say",""
"past12mo_prescriptionmeds","Integer","","Recommended","In the past 12 months, how often have you used any prescription medications just for the feeling, more than prescribed or that were not prescribed for you? Prescription medications that may be used this way include: Opiate pain relievers (for example, OxyContin, Vicodin, Percocet, Methadone). Medications for anxiety or sleeping (for example, Xanax, Ativan, Klonopin) Medications for ADHD (for example, Adderall or Ritalin)","1::6","1 = Daily or Almost Daily ; 2 = Weekly ; 3 = Monthly ; 4 = Less than Monthly ; 5 = Never ; 6 = Prefer not to say",""
"relation_to_child","Integer","","Recommended","Select the option that best describes your relationship to your child","1","Biological Parent",""
"use_tobacco","Integer","","Recommended","In the past 3 months, did you smoke a cigarette containing tobacco?","0::2","0 = No; 1 = Yes; 2 = Prefer not to say","taps_use_tobacco"
"preg_amount_smoke","Integer","","Recommended","If you have smoked a cigarette containing tobacco in the past 3 months, did you usually smoke more than 10 cigarettes each day?","0::2","0 = No; 1 = Yes; 2 = Prefer not to say","taps_amount_smoke"
"preg_smoke_waking","Integer","","Recommended","If you have smoked a cigarette containing tobacco in the past 3 months, did you usually smoke within 30 minutes of waking?","0::2","0 = No; 1 = Yes; 2 = Prefer not to say","taps_smoke_waking"
"preg_alc_use","Integer","","Recommended","In the past 3 months, did you have a drink containing alcohol?","0::2","0 = No; 1 = Yes; 2 = Prefer not to say","taps_alc_use"
"preg_alc_amount_female","Integer","","Recommended","If you did have a drink containing alcohol in the past 3 months, did you have 4 or more drinks containing alcohol in a day? (this question should only be answered by females)","0::2","0 = No; 1 = Yes; 2 = Prefer not to say","taps_alc_amount_female"
"preg_alc_amount_male","Integer","","Recommended","If you did have a drink containing alcohol in the past 3 months, did you have 5 or more drinks containing alcohol in a day? (this question should only be answered by males)","0::2","0 = No; 1 = Yes; 2 = Prefer not to say","taps_alc_amount_male"
"preg_alc_trystop","Integer","","Recommended","If you did have a drink containing alcohol in the past 3 months, have you tried and failed to control, cut down or stop drinking?","0::2","0 = No; 1 = Yes; 2 = Prefer not to say","taps_alc_trystop"
"preg_alc_concern","Integer","","Recommended","If you did have a drink containing in the past 3 months, has anyone expressed concern about your drinking?","0::2","0 = No; 1 = Yes; 2 = Prefer not to say","taps_alc_concern"
"preg_marijuana_use","Integer","","Recommended","In the past 3 months, did you use marijuana (hash, weed)?","0::2","0 = No; 1 = Yes; 2 = Prefer not to say","taps_marijuana_use"
"preg_marijuana_amount","Integer","","Recommended","If you did use marijuana (hash, weed) in the past 3 months, have you had a strong desire or urge to use marijuana at least once a week or more often?","0::2","0 = No; 1 = Yes; 2 = Prefer not to say","taps_marijuana_amount"
"preg_marijuana_concern","Integer","","Recommended","If you did use marijuana (hash, weed) in the past 3 months, has anyone expressed concern about your use of marijuana?","0::2","0 = No; 1 = Yes; 2 = Prefer not to say","taps_marijuana_concern"
"preg_cocainemeth_use","Integer","","Recommended","In the past 3 months, did you use cocaine, crack, or methamphetamine (crystal meth)?","0::2","0 = No; 1 = Yes; 2 = Prefer not to say","taps_cocainemeth_use"
"preg_cocainemeth_amount","Integer","","Recommended","If you did use cocaine, crack, or methamphetamine (crystal meth) in the past 3 months, did you use cocaine, crack, or methamphetamine (crystal meth) at least once a week or more often?","0::2","0 = No; 1 = Yes; 2 = Prefer not to say","taps_cocainemeth_amount"
"preg_cocainemeth_concern","Integer","","Recommended","If you did use cocaine, crack, or methamphetamine (crystal meth) in the past 3 months, has anyone expressed concern about your use of cocaine, crack, or methamphetamine (crystal meth)?","0::2","0 = No; 1 = Yes; 2 = Prefer not to say","taps_cocainemeth_concern"
"preg_heroin_use","Integer","","Recommended","In the past 3 months, did you use heroin?","0::2","0 = No; 1 = Yes; 2 = Prefer not to say","taps_heroin_use"
"preg_heroin_trystop","Integer","","Recommended","If you did use heroin in the past 3 months, have you tried and failed to control, cut down or stop using heroin?","0::2","0 = No; 1 = Yes; 2 = Prefer not to say","taps_heroin_trystop"
"preg_heroin_concern","Integer","","Recommended","If you did use heroin in the past 3 months, has anyone expressed concern about your use of heroin?","0::2","0 = No; 1 = Yes; 2 = Prefer not to say","taps_heroin_concern"
"preg_opiate_use","Integer","","Recommended","In the past 3 months, did you use a prescription opiate pain reliever (for example, Percocet, Vicodin) not as prescribed or that was not prescribed for you?","0::2","0 = No; 1 = Yes; 2 = Prefer not to say","taps_opiate_use"
"preg_opiate_trystop","Integer","","Recommended","If you did use a prescription opiate pain reliever not as prescribed or that was not prescribed to you in the past 3 months, have you tried and failed to control, cut down or stop using an opiate pain reliever?","0::2","0 = No; 1 = Yes; 2 = Prefer not to say","taps_opiate_trystop"
"preg_opiate_concern","Integer","","Recommended","If you did use a prescription opiate pain reliever not as prescribed or that was not prescribed to you in the past 3 months, has anyone expressed concern about your use of an opiate pain reliever?","0::2","0 = No; 1 = Yes; 2 = Prefer not to say","taps_opiate_concern"
"preg_medsleep_use","Integer","","Recommended","In the past 3 months, did you use a medication for anxiety or sleep (for example, Xanax, Ativan, or Klonopin) not as prescribed or that was not prescribed for you?","0::2","0 = No; 1 = Yes; 2 = Prefer not to say","taps_medsleep_use"
"preg_medsleep_amount","Integer","","Recommended","If you did use a medication for anxiety or sleep not as prescribed or that was not prescribed to you in the past 3 months, have you has a strong desire or urge to use medications for anxiety or sleep at least once a week or more often?","0::2","0 = No; 1 = Yes; 2 = Prefer not to say","taps_medsleep_amount"
